"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Phalanx Vanguard","W","C","256292","5.04","49050","6.71","252230","81.9%","57.3%","45055","58.2%","59901","55.0%","104956","56.4%","146460","58.0%","-1.6pp"
"Phyrexian Dragon Engine","R","R","7560","1.27","6479","1.27","39588","96.6%","58.1%","7141","62.6%","10384","60.8%","17525","61.6%","21995","55.3%","6.2pp"
"Phyrexian Fleshgorger","B","M","3178","1.10","2932","1.10","17317","95.7%","56.2%","2910","58.8%","4868","61.5%","7778","60.5%","9514","52.6%","7.8pp"
"Phyrexian Processor","","M","3481","1.66","1791","1.66","9881","92.0%","53.5%","1676","52.9%","2813","54.5%","4489","53.9%","5369","53.3%","0.6pp"
"Phyrexian Revoker","","R","16366","3.81","2854","5.36","11109","64.3%","53.6%","1967","50.8%","2804","52.9%","4771","52.0%","6312","54.7%","-2.6pp"
"Platinum Angel","","M","3011","1.44","1833","1.49","10234","89.4%","56.7%","1619","57.9%","2920","62.7%","4539","61.0%","5657","53.0%","8.0pp"
"Platoon Dispenser","W","M","3134","1.09","3002","1.09","18860","98.7%","58.6%","3234","64.1%","5116","64.6%","8350","64.4%","10506","53.9%","10.5pp"
"Portal to Phyrexia","","M","3486","1.19","2989","1.17","16893","90.2%","57.5%","2696","61.4%","5121","65.3%","7817","64.0%","9048","51.9%","12.1pp"
"Power Plant Worker","","C","303744","6.56","31674","9.97","55079","28.8%","51.9%","8871","49.8%","14143","52.4%","23014","51.4%","27936","50.7%","0.7pp"
"Powerstone Engineer","W","C","272579","5.40","41202","7.60","170883","67.0%","55.3%","30542","56.1%","41195","53.8%","71737","54.8%","98672","55.7%","-0.9pp"
"Powerstone Fracture","B","C","226866","4.43","47609","5.83","224578","78.2%","53.9%","37051","51.3%","63804","56.6%","100855","54.6%","123506","53.3%","1.3pp"
"Precursor Golem","","R","5708","1.47","4476","1.52","28076","98.7%","58.8%","4875","64.0%","7765","63.2%","12640","63.5%","15425","54.8%","8.7pp"
"Prison Sentence","W","C","172679","3.27","50706","4.01","279978","87.7%","57.7%","47989","57.0%","72458","59.8%","120447","58.7%","159356","56.9%","1.8pp"
"Pristine Talisman","","U","97928","5.01","12907","7.23","38846","49.8%","52.9%","6846","53.5%","10557","54.1%","17403","53.8%","21344","52.2%","1.7pp"
"Psychosis Crawler","","R","14021","3.58","1733","5.03","4289","43.1%","47.0%","738","44.0%","1306","47.5%","2044","46.2%","2239","47.6%","-1.4pp"
"Pyrrhic Blast","R","U","106501","6.23","15959","8.76","34520","35.5%","53.2%","5407","50.2%","8801","53.6%","14208","52.3%","20294","53.8%","-1.5pp"
"Queen Kayla bin-Kroog","WR","R","22096","3.77","5737","4.32","18255","51.7%","55.5%","3141","56.4%","4498","53.5%","7639","54.7%","10530","56.0%","-1.3pp"
"Quicksilver Amulet","","R","15715","4.16","1709","6.21","2629","26.3%","47.4%","487","","679","48.5%","1166","48.5%","1455","46.4%","2.1pp"
"Quietus Spike","","R","13293","3.44","1542","4.69","4514","49.7%","50.2%","749","46.3%","1173","49.6%","1922","48.3%","2588","51.5%","-3.2pp"
"Ramos, Dragon Engine","WUBRG","M","3258","1.47","1894","1.50","10479","91.9%","53.2%","1670","52.8%","2919","55.9%","4589","54.7%","5882","52.0%","2.8pp"
"Ravenous Gigamole","B","C","299223","6.49","49113","8.85","152833","50.9%","55.3%","25591","55.7%","42292","57.2%","67883","56.6%","84919","54.2%","2.4pp"
"Raze to the Ground","R","C","323183","7.95","38881","11.39","46818","19.5%","53.3%","7579","50.9%","11965","53.2%","19544","52.3%","27214","53.9%","-1.7pp"
"Razorlash Transmogrant","B","R","13538","2.28","4888","2.47","23932","80.6%","54.2%","4410","56.6%","6323","54.1%","10733","55.1%","13168","53.5%","1.6pp"
"Recommission","W","C","279401","5.71","44842","7.95","169432","60.9%","56.3%","27584","54.0%","42646","56.4%","70230","55.5%","99141","56.9%","-1.4pp"
"Reconstructed Thopter","","U","88857","4.24","19243","5.75","98964","83.1%","55.8%","17430","54.2%","25467","55.6%","42897","55.1%","55850","56.4%","-1.3pp"
"Recruitment Officer","W","U","61746","3.22","20490","3.78","112443","85.9%","58.9%","20075","63.1%","27445","58.4%","47520","60.4%","64544","57.8%","2.6pp"
"Repair and Recharge","W","U","102372","6.01","11456","9.03","17792","25.8%","51.0%","2664","47.4%","4904","52.9%","7568","51.0%","10217","51.1%","-0.1pp"
"Retrieval Agent","U","C","336872","8.95","35764","12.74","20470","9.4%","52.7%","3294","51.0%","5142","51.2%","8436","51.1%","12025","53.8%","-2.7pp"
"Roc Hunter","R","C","308966","6.88","49304","9.48","176833","57.3%","56.7%","31590","57.3%","42964","54.5%","74554","55.7%","102106","57.5%","-1.9pp"
"Rootwire Amalgam","G","M","4381","1.45","2929","1.45","15465","85.7%","56.3%","2707","59.6%","4090","59.1%","6797","59.3%","8627","54.0%","5.3pp"
"Runechanter's Pike","","R","16000","4.05","2624","5.47","7382","45.4%","54.6%","1187","52.2%","2031","55.6%","3218","54.4%","4142","54.7%","-0.3pp"
"Rust Goliath","G","C","276321","5.64","33711","8.21","123275","61.1%","52.6%","19618","50.9%","33909","54.6%","53527","53.3%","69642","52.1%","1.1pp"
"Saheeli, Filigree Master","UR","M","4129","1.46","3003","1.42","15255","80.8%","57.5%","2571","62.7%","4387","62.0%","6958","62.3%","8279","53.6%","8.7pp"
"Sardian Cliffstomper","R","U","102592","6.03","17310","7.93","48811","45.3%","57.2%","8579","60.6%","12002","56.4%","20581","58.1%","28212","56.5%","1.6pp"
"Sarinth Greatwurm","RG","M","5915","2.17","2369","2.18","9198","64.7%","53.3%","1450","53.5%","2460","57.0%","3910","55.7%","5291","51.5%","4.2pp"
"Sarinth Steelseeker","G","U","60097","3.22","19135","3.73","99169","84.7%","55.2%","17871","58.0%","25256","54.3%","43127","55.8%","55927","54.7%","1.1pp"
"Scatter Ray","U","C","303617","6.82","39191","9.64","104841","43.8%","54.3%","18250","55.0%","28916","54.2%","47166","54.5%","57351","54.0%","0.4pp"
"Scrap Trawler","","R","9084","2.24","3125","2.53","16163","85.4%","54.0%","2801","51.8%","4465","55.0%","7266","53.7%","8868","54.2%","-0.5pp"
"Scrapwork Cohort","W","C","197868","3.78","71013","4.36","410130","90.9%","58.4%","70260","59.2%","105781","59.4%","176041","59.3%","233796","57.8%","1.6pp"
"Scrapwork Mutt","R","C","213701","4.06","77131","4.77","456487","93.0%","58.3%","84238","59.9%","116856","58.3%","201094","59.0%","254588","57.8%","1.2pp"
"Scrapwork Rager","B","C","227675","4.19","45677","5.72","226127","81.5%","54.5%","38574","53.6%","62738","56.2%","101312","55.2%","124556","53.9%","1.2pp"
"Sculpting Steel","","R","9322","2.30","2954","2.61","13629","78.7%","52.3%","2279","49.7%","3749","53.5%","6028","52.0%","7577","52.5%","-0.4pp"
"Self-Assembler","","U","93723","4.86","14249","6.87","33477","38.2%","54.9%","5463","56.5%","8603","56.8%","14066","56.7%","17403","52.3%","4.3pp"
"Semblance Anvil","","R","20241","5.47","2002","8.94","644","5.3%","39.4%","123","","154","","277","","366","",""
"Shoot Down","G","C","294709","6.36","40390","9.00","133073","54.2%","53.4%","21074","50.7%","35632","54.9%","56706","53.3%","76315","53.4%","-0.1pp"
"Sibling Rivalry","R","C","317648","7.57","48934","10.33","112321","37.0%","55.1%","17754","52.3%","29100","57.3%","46854","55.4%","65417","55.0%","0.4pp"
"Siege Veteran","W","R","7837","1.34","6435","1.33","39054","93.5%","60.9%","7177","71.1%","9968","65.0%","17145","67.6%","21706","55.6%","12.0pp"
"Sigil of Valor","","U","100542","5.18","13835","7.47","40937","48.8%","53.6%","6781","50.7%","10437","52.6%","17218","51.9%","23688","54.8%","-3.0pp"
"Simian Simulacrum","G","R","7891","1.34","6388","1.33","39174","97.2%","58.0%","7064","62.9%","10269","61.7%","17333","62.2%","21691","54.5%","7.6pp"
"Skitterbeam Battalion","R","M","3652","1.25","3098","1.23","18176","91.0%","59.0%","3007","62.7%","4873","65.7%","7880","64.5%","10260","54.7%","9.8pp"
"Skyfisher Spider","BG","U","60937","3.37","22846","3.70","113517","78.9%","57.7%","18753","58.9%","32142","63.9%","50895","62.0%","62414","54.1%","7.9pp"
"Skystrike Officer","U","R","8078","1.43","6278","1.40","37222","92.0%","59.6%","6690","67.8%","10195","63.8%","16885","65.4%","20241","54.7%","10.7pp"
"Slagstone Refinery","","U","123057","8.14","13070","12.04","3333","4.2%","44.3%","547","38.0%","889","42.4%","1436","40.7%","1890","47.1%","-6.4pp"
"Soul Partition","W","R","22468","3.63","4816","4.60","18351","62.3%","56.4%","3045","57.4%","4508","57.8%","7553","57.6%","10788","55.6%","2.1pp"
"Soul-Guide Lantern","","U","105086","5.18","22121","7.08","87736","64.7%","54.9%","15359","51.9%","23671","54.7%","39030","53.6%","48561","55.9%","-2.2pp"
"Spectrum Sentinel","","U","116591","6.89","9934","10.94","9945","16.4%","52.3%","1756","49.2%","2299","51.5%","4055","50.5%","5860","53.7%","-3.1pp"
"Splitting the Powerstone","U","U","125595","8.84","13569","12.77","1310","1.6%","43.0%","215","","380","","595","40.3%","714","45.1%","-4.8pp"
"Spotter Thopter","U","U","75553","3.93","13391","5.22","58980","72.9%","54.0%","9777","51.9%","17172","56.7%","26949","55.0%","31827","53.2%","1.8pp"
"Springleaf Drum","","U","113716","6.30","17202","8.83","45172","42.9%","54.7%","7913","54.6%","11925","52.5%","19838","53.3%","25291","55.7%","-2.4pp"
"Staff of Domination","","M","5101","2.37","1295","2.63","4925","64.5%","51.7%","886","49.0%","1335","53.8%","2221","51.9%","2695","51.5%","0.4pp"
"Static Net","W","U","42592","2.29","20946","2.52","119464","89.2%","59.1%","19974","61.2%","31780","63.6%","51754","62.6%","67649","56.4%","6.2pp"
"Steel Exemplar","","U","86322","4.36","12056","6.21","42934","58.7%","53.6%","7058","53.2%","11438","55.2%","18496","54.4%","24397","52.9%","1.5pp"
