"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Agate Assault","R","C","87466","4.43","15122","5.90","70540","80.1%","53.6%","11644","52.8%","15846","54.5%","27490","53.8%","42848","53.3%","0.5pp"
"Alania's Pathmaker","R","C","113785","6.31","16421","8.82","51700","53.5%","53.9%","8402","52.7%","11958","54.1%","20360","53.5%","31335","54.1%","-0.5pp"
"Artist's Talent","R","R","15139","4.78","1859","7.02","2222","21.2%","44.8%","402","","594","42.9%","996","44.5%","1209","44.9%","-0.4pp"
"Blacksmith's Talent","R","U","37444","4.94","7106","6.34","26484","63.2%","54.7%","4597","55.8%","5658","53.1%","10255","54.3%","16201","54.9%","-0.5pp"
"Blooming Blast","R","U","31225","3.95","6244","5.17","29317","80.9%","53.1%","5059","51.4%","6563","55.1%","11622","53.5%","17610","52.8%","0.7pp"
"Brambleguard Captain","R","U","32849","4.18","6370","5.36","28190","75.6%","54.3%","4728","54.6%","6180","54.3%","10908","54.4%","17262","54.2%","0.3pp"
"Brazen Collector","R","U","30890","3.89","7196","4.85","35449","83.8%","54.7%","6452","58.8%","7494","51.5%","13946","54.9%","21501","54.6%","0.3pp"
"Byway Barterer","R","R","7337","2.52","2896","2.63","14402","85.2%","55.0%","2505","57.1%","3227","57.1%","5732","57.1%","8684","53.7%","3.4pp"
"Coruscation Mage","R","U","33361","4.35","5919","5.60","25583","74.6%","52.8%","4621","53.6%","6062","53.7%","10683","53.7%","14874","52.2%","1.5pp"
"Conduct Electricity","R","C","115294","6.41","12905","9.54","26147","34.8%","51.4%","3923","49.1%","6149","53.5%","10072","51.8%","15989","51.1%","0.6pp"
"Emberheart Challenger","R","R","6292","2.12","2835","2.06","14308","84.6%","55.9%","2596","58.7%","3144","57.9%","5740","58.3%","8567","54.4%","3.8pp"
"Festival of Embers","R","R","17545","5.22","2197","7.85","1201","9.6%","45.4%","193","","304","","497","","696","44.1%",""
"Flamecache Gecko","R","U","36857","4.74","7458","6.04","32690","73.8%","55.8%","5792","56.6%","6879","55.9%","12671","56.2%","19987","55.4%","0.8pp"
"Dragonhawk, Fate's Tempest","R","M","2080","1.47","1424","1.42","7239","85.2%","56.6%","1263","58.7%","1715","64.9%","2978","62.3%","4264","52.7%","9.6pp"
"Frilled Sparkshooter","R","C","114944","6.53","13904","9.47","33565","41.3%","53.1%","5354","51.4%","7409","52.3%","12763","51.9%","20813","53.8%","-1.9pp"
"Harnesser of Storms","R","U","40706","5.48","5527","7.64","14037","44.8%","50.0%","2437","48.4%","3592","50.0%","6029","49.4%","8013","50.3%","-1.0pp"
"Heartfire Hero","R","U","29260","3.83","6497","4.69","30107","77.9%","55.6%","5424","59.9%","6396","53.9%","11820","56.6%","18300","54.9%","1.8pp"
"Hearthborn Battler","R","R","7498","2.50","2469","2.62","11925","83.5%","53.8%","2113","52.4%","2739","54.7%","4852","53.7%","7085","54.0%","-0.3pp"
"Hired Claw","R","R","7586","2.50","2823","2.51","13347","79.5%","56.1%","2489","66.0%","2878","54.4%","5367","59.8%","8002","53.6%","6.1pp"
"Hoarder's Overflow","R","U","48919","6.92","5569","10.35","4320","13.4%","49.1%","744","39.7%","923","49.1%","1667","44.9%","2648","51.7%","-6.8pp"
"Kindlespark Duo","R","C","111217","6.26","13657","8.95","37265","47.7%","50.3%","6374","49.1%","8774","49.3%","15148","49.2%","22083","51.0%","-1.8pp"
"Manifold Mouse","R","R","6723","2.33","2830","2.25","13517","79.4%","56.9%","2521","64.1%","2968","60.8%","5489","62.3%","8008","53.2%","9.1pp"
"Might of the Meek","R","C","114715","6.49","15160","9.22","42157","47.7%","53.1%","6777","51.5%","9462","52.7%","16239","52.2%","25861","53.7%","-1.5pp"
"Playful Shove","R","U","39609","5.05","6780","6.80","25056","63.7%","53.2%","4341","53.2%","5950","53.6%","10291","53.5%","14688","53.0%","0.5pp"
"Quaketusk Boar","R","U","28164","3.56","6945","4.32","33106","81.7%","54.2%","5003","54.7%","7484","56.6%","12487","55.9%","20670","53.3%","2.6pp"
"Rabid Gnaw","R","U","25823","3.27","7661","3.84","39210","86.0%","55.8%","6592","57.8%","8678","59.5%","15270","58.7%","23859","53.9%","4.9pp"
