"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Jace, the Perfected Mind","U","M","4763","1.42","3077","1.37","14749","79.0%","54.7%","2466","58.9%","3797","60.5%","6263","59.9%","8340","50.7%","9.2pp"
"Jawbone Duelist","W","U","48471","2.46","18019","2.79","98047","88.4%","55.8%","18155","58.1%","20242","54.3%","38397","56.1%","59598","55.7%","0.4pp"
"Jin-Gitaxias, Progress Tyrant","U","M","3410","1.87","1474","1.89","6269","72.6%","51.9%","939","50.5%","1661","56.1%","2600","54.1%","3620","50.2%","3.9pp"
"Jor Kadeen, First Goldwarden","WR","R","22328","3.41","6815","3.71","27069","64.5%","56.7%","4781","58.2%","5618","56.5%","10399","57.3%","16668","56.3%","0.9pp"
"Kaito, Dancing Shadow","UB","R","10917","1.71","6147","1.63","28041","76.2%","53.8%","4723","57.2%","7004","60.8%","11727","59.3%","16004","49.5%","9.8pp"
"Karumonix, the Rat King","B","R","21410","3.05","4747","3.76","17664","63.2%","52.6%","2972","52.0%","3994","52.6%","6966","52.3%","10596","52.8%","-0.5pp"
"Kaya, Intangible Slayer","WB","R","11533","1.94","5393","1.89","21692","67.1%","53.9%","3252","54.6%","4927","59.0%","8179","57.2%","13432","51.7%","5.5pp"
"Kemba, Kha Enduring","W","R","13984","2.19","6581","2.22","33035","81.1%","56.3%","6127","57.5%","6870","57.5%","12997","57.5%","20015","55.5%","2.1pp"
"Kethek, Crucible Goliath","BR","R","32220","4.67","5043","6.70","6034","19.9%","52.0%","1064","49.9%","1332","54.0%","2396","52.2%","3619","51.9%","0.2pp"
"Koth, Fire of Resistance","R","R","10582","1.68","7243","1.66","40173","88.9%","57.4%","6843","59.9%","8702","60.5%","15545","60.3%","24538","55.6%","4.6pp"
"Kuldotha Cackler","R","C","320649","6.35","56419","8.68","211750","60.7%","56.1%","36297","55.4%","45872","54.8%","82169","55.1%","129459","56.8%","-1.7pp"
"Lattice-Blade Mantis","G","C","266723","4.76","60509","6.16","301040","80.5%","56.6%","49311","57.3%","65870","56.8%","115181","57.0%","185609","56.4%","0.6pp"
"Leonin Lightbringer","W","C","335298","6.91","41798","10.03","90913","35.6%","54.0%","15430","53.0%","18859","52.0%","34289","52.4%","56614","55.0%","-2.5pp"
"Lukka, Bound to Ruin","RG","M","4404","1.39","3394","1.36","18529","87.1%","57.7%","3099","61.9%","4151","63.1%","7250","62.6%","11263","54.5%","8.1pp"
"Magmatic Sprinter","R","U","97046","4.87","15759","6.71","56177","59.3%","52.7%","9326","49.3%","12417","52.6%","21743","51.2%","34383","53.7%","-2.6pp"
"Malcator's Watcher","U","C","299358","5.76","46481","7.79","190834","68.5%","53.9%","34235","55.4%","45926","55.1%","80161","55.2%","109988","53.0%","2.2pp"
"Malcator, Purity Overseer","WU","R","20959","3.24","6282","3.48","22305","58.4%","55.6%","3972","59.8%","5385","58.4%","9357","59.0%","12872","53.2%","5.8pp"
"Mandible Justiciar","W","C","267059","4.77","55956","6.23","270325","78.7%","55.8%","48967","57.1%","57439","55.5%","106406","56.2%","163735","55.6%","0.7pp"
"Maze Skullbomb","","C","354403","7.39","44315","10.64","66996","25.0%","53.0%","11601","48.8%","14409","52.2%","26010","50.7%","40945","54.5%","-3.9pp"
"Maze's Mantle","G","C","348435","7.35","37783","10.91","51225","22.4%","52.5%","7899","50.9%","10840","51.9%","18739","51.5%","32453","53.1%","-1.6pp"
