"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Dark Tutelage","B","U","191817","7.38","22315","10.94","12150","8.9%","51.7%","2061","48.1%","2844","49.4%","4905","48.8%","7209","53.6%","-4.8pp"
"Dawn of Hope","W","R","18205","4.11","2750","5.63","8097","49.1%","50.8%","1343","45.7%","2062","51.6%","3405","49.3%","4684","51.9%","-2.6pp"
"Decadent Dragon","R","R","12876","1.47","9657","1.45","54391","91.0%","56.5%","9340","57.6%","13313","58.9%","22653","58.4%","31643","55.1%","3.2pp"
"Defense of the Heart","G","M","6091","2.83","1572","3.21","6753","71.6%","54.1%","1095","54.2%","1743","57.8%","2838","56.4%","3914","52.4%","4.0pp"
"Devouring Sugarmaw","B","R","16716","1.94","8925","1.94","46080","84.4%","55.0%","7873","56.9%","11392","57.1%","19265","57.1%","26736","53.4%","3.6pp"
"Diminisher Witch","U","C","413621","7.32","53610","10.38","118253","36.5%","53.5%","19689","52.3%","34732","57.3%","54421","55.5%","63335","51.7%","3.8pp"
"Discerning Financier","W","U","133820","5.09","15771","7.59","43553","46.1%","51.6%","7575","51.0%","10246","51.4%","17821","51.2%","25750","51.8%","-0.5pp"
"Disdainful Stroke","U","U","166693","6.95","20557","10.13","33586","27.0%","51.7%","5408","49.9%","9839","55.7%","15247","53.7%","18220","50.2%","3.5pp"
"Doubling Season","G","M","8914","4.11","1114","5.98","1280","18.9%","46.6%","199","","320","","519","43.4%","760","48.9%","-5.6pp"
"Dragon Mantle","R","U","175789","6.10","26374","8.77","72624","44.4%","56.1%","11329","54.2%","15827","55.1%","27156","54.7%","44872","56.8%","-2.1pp"
"Dream Spoilers","B","U","144077","5.56","17231","8.14","36093","34.9%","50.9%","5989","47.6%","9141","52.1%","15130","50.3%","20874","51.3%","-0.9pp"
"Dutiful Griffin","W","U","142443","5.50","16909","8.13","41958","41.5%","51.7%","6587","48.3%","10548","52.6%","17135","50.9%","24884","52.1%","-1.2pp"
"Edgewall Inn","","U","104298","3.40","34437","4.34","202749","96.1%","55.9%","37732","57.5%","49337","55.9%","87069","56.6%","115278","55.4%","1.2pp"
"Edgewall Pack","R","C","331999","4.95","70475","6.60","350070","79.2%","57.1%","57246","57.3%","76692","56.8%","133938","57.0%","215873","57.1%","-0.1pp"
"Eerie Interference","W","U","175039","7.78","17602","11.79","2786","2.6%","48.4%","417","","646","47.7%","1063","46.3%","1719","49.7%","-3.4pp"
"Ego Drain","B","U","168297","7.10","18320","10.65","15962","14.4%","50.9%","2585","48.5%","4263","52.3%","6848","50.9%","9078","50.8%","0.0pp"
"Elusive Otter","U","R","25046","2.81","8295","3.04","36302","73.0%","53.4%","6068","52.0%","9735","57.1%","15803","55.1%","20365","51.9%","3.2pp"
"Elvish Archivist","G","R","17370","1.99","9194","1.99","49381","87.8%","55.0%","8864","59.7%","12027","54.9%","20891","57.0%","28508","53.5%","3.5pp"
"Embereth Veteran","R","U","115837","4.13","30948","5.14","165597","85.3%","57.4%","29461","60.3%","35199","54.3%","64660","57.1%","100844","57.6%","-0.5pp"
"Eriette of the Charmed Apple","WB","M","9226","2.17","3501","2.15","13735","65.6%","52.9%","2281","54.5%","3413","54.8%","5694","54.7%","8037","51.5%","3.2pp"
"Eriette's Tempting Apple","","U","149632","5.41","25057","7.49","79391","51.1%","56.9%","12147","54.7%","18009","60.3%","30156","58.1%","49113","56.1%","1.9pp"
"Eriette's Whisper","B","C","418619","7.38","47943","10.93","52777","18.0%","53.6%","8255","52.6%","12703","55.5%","20958","54.4%","31656","53.1%","1.3pp"
"Evolving Wilds","","C","350362","4.81","70514","6.80","383297","88.5%","55.4%","71033","57.0%","92323","54.1%","163356","55.4%","219685","55.4%","0.0pp"
"Expel the Interlopers","W","R","17487","2.03","8890","1.99","42672","78.9%","54.5%","7044","54.8%","10990","58.5%","18034","57.1%","24629","52.6%","4.4pp"
"Extraordinary Journey","U","R","28438","3.10","10248","3.29","47552","76.3%","54.8%","7718","55.3%","14281","60.4%","21999","58.6%","25261","51.6%","7.0pp"
"Faerie Dreamthief","B","U","107334","3.73","27092","4.73","143279","84.9%","56.8%","25781","59.6%","33523","56.4%","59304","57.8%","83667","56.0%","1.8pp"
"Faerie Fencing","B","U","85018","3.06","23944","3.74","121005","82.6%","55.4%","20004","55.3%","31740","58.3%","51744","57.2%","69171","54.0%","3.2pp"
"Farsight Ritual","U","R","34627","3.62","7602","4.55","29431","64.7%","52.6%","4794","51.1%","8705","56.8%","13499","54.8%","16006","50.8%","3.9pp"
"Faunsbane Troll","BG","R","16100","1.88","11002","1.82","61090","88.0%","57.5%","10319","63.0%","15594","63.2%","25913","63.1%","34928","53.2%","10.0pp"
"Feed the Cauldron","B","C","267014","3.83","57606","5.12","293028","82.9%","55.4%","50157","54.6%","71684","57.2%","121841","56.1%","170515","54.8%","1.3pp"
"Fell Horseman","B","C","377366","5.76","47277","8.67","139884","48.6%","53.9%","22678","50.4%","33918","55.2%","56596","53.3%","82866","54.2%","-0.9pp"
"Feral Encounter","G","R","24376","2.64","9549","2.81","48695","82.8%","56.0%","7800","55.2%","12085","60.0%","19885","58.1%","28782","54.5%","3.6pp"
"Ferocious Werefox","G","C","321979","4.64","57698","6.53","296841","83.8%","55.3%","49533","54.4%","72004","56.9%","121537","55.8%","175000","54.8%","1.0pp"
"Fiery Emancipation","R","R","22189","4.88","2790","7.46","4812","28.1%","53.0%","773","51.2%","1119","53.7%","1892","52.7%","2912","53.3%","-0.6pp"
"Flick a Coin","R","C","370661","5.82","82045","7.58","345448","67.2%","57.3%","58794","58.3%","81824","59.0%","140618","58.7%","204328","56.3%","2.4pp"
"Food Fight","R","R","55787","5.93","7893","8.78","2851","5.9%","50.8%","450","","730","51.2%","1180","48.0%","1667","52.6%","-4.6pp"
"Forced Fruition","U","R","25769","5.82","3577","8.43","4350","20.5%","47.3%","706","40.7%","1314","47.7%","2020","45.2%","2301","49.0%","-3.8pp"
"Frantic Firebolt","R","C","311788","4.64","57584","6.35","252623","71.9%","54.4%","42102","51.6%","65433","56.3%","107535","54.5%","145273","54.3%","0.2pp"
"Fraying Sanity","U","R","27400","6.27","3109","9.84","463","2.4%","","82","","131","","213","","249","",""
"Freeze in Place","U","C","416381","7.94","38783","11.96","33221","14.3%","48.1%","5671","43.8%","9400","51.6%","15071","48.7%","18183","47.6%","1.1pp"
"Frolicking Familiar","U","U","119502","4.51","29539","5.51","123543","68.1%","55.5%","21727","56.5%","34671","59.0%","56398","58.1%","66293","53.3%","4.8pp"
"Frostbridge Guard","W","C","393978","6.61","43649","9.77","105208","39.8%","52.6%","18423","52.7%","24750","51.8%","43173","52.1%","61959","52.9%","-0.8pp"
"Gadwick's First Duel","U","U","139920","5.43","18674","7.74","49755","44.9%","51.2%","8743","47.7%","14004","54.3%","22747","51.8%","26662","50.7%","1.0pp"
"Gallant Pie-Wielder","W","U","124598","4.60","20868","6.23","85896","68.0%","54.4%","14543","54.6%","18830","52.4%","33373","53.4%","52616","55.0%","-1.6pp"
"Galvanic Giant","U","U","148806","5.88","18417","8.60","34954","32.2%","50.0%","5539","48.4%","10053","52.6%","15592","51.1%","19239","49.1%","2.0pp"
"Garruk's Uprising","G","U","164871","5.82","18824","8.81","35146","30.9%","52.1%","5780","48.0%","8436","51.2%","14216","49.9%","20905","53.6%","-3.8pp"
"Gingerbread Hunter","G","U","68196","2.60","33523","2.82","188482","90.1%","57.1%","32341","59.6%","48054","61.6%","80395","60.8%","107411","54.2%","6.5pp"
"Gingerbrute","","C","372999","5.46","63937","7.72","276848","69.9%","56.1%","50907","56.6%","59330","54.3%","110237","55.3%","166532","56.6%","-1.3pp"
"Glass Casket","W","U","106096","3.81","21602","5.03","99254","76.0%","54.2%","17480","53.6%","23829","54.9%","41309","54.4%","57791","54.1%","0.3pp"
"Gnawing Crescendo","R","C","405194","7.13","54845","10.17","131036","38.4%","56.8%","19752","55.2%","27425","57.6%","47177","56.6%","83731","56.9%","-0.2pp"
"Goblin Bombardment","R","R","17299","3.87","6379","4.02","31559","77.0%","59.1%","5347","62.3%","6906","61.3%","12253","61.8%","19256","57.4%","4.3pp"
"Goddric, Cloaked Reveler","R","R","15450","1.78","9768","1.77","55061","89.9%","57.0%","9676","59.2%","12592","59.1%","22268","59.2%","32802","55.6%","3.6pp"
"Grabby Giant","R","C","340775","4.98","63464","6.97","298243","75.5%","56.2%","52462","55.9%","70028","56.7%","122490","56.3%","175333","56.1%","0.3pp"
"Graceful Takedown","G","U","107092","3.80","27017","4.87","140048","84.8%","55.0%","22699","53.6%","34491","56.8%","57190","55.5%","82741","54.6%","0.9pp"
"Grand Ball Guest","R","C","365211","5.69","76096","7.51","373639","78.2%","57.2%","66868","58.0%","78369","54.1%","145237","55.9%","228248","58.0%","-2.1pp"
"Grasp of Fate","W","U","105440","3.45","21000","4.48","102787","81.1%","53.7%","16821","52.7%","25129","55.3%","41950","54.3%","60673","53.3%","0.9pp"
"Grave Pact","B","M","6054","2.94","1380","3.38","5431","65.8%","51.4%","876","46.5%","1286","49.4%","2162","48.2%","3240","53.3%","-5.1pp"
"Greater Auramancy","W","M","9872","4.64","1044","7.20","734","12.1%","41.6%","112","","179","","291","","443","",""
"Greta, Sweettooth Scourge","BG","U","92652","3.50","27762","4.15","136682","79.4%","56.1%","23476","57.0%","34159","58.1%","57635","57.7%","78781","54.9%","2.7pp"
"Griffin Aerie","W","U","182581","6.97","23722","10.08","25973","18.0%","53.2%","4321","52.8%","6565","54.2%","10886","53.6%","15046","52.9%","0.7pp"
"Ground Seal","G","U","201049","8.16","22647","11.96","2260","1.6%","50.0%","385","","560","50.4%","945","48.8%","1313","50.7%","-1.9pp"
"Gruff Triplets","G","R","12624","1.44","9872","1.41","57633","91.0%","59.4%","9777","68.5%","14916","69.4%","24693","69.0%","32191","51.7%","17.3pp"
"Gumdrop Poisoner","B","R","13977","1.58","10238","1.55","58222","90.4%","57.7%","10184","60.8%","14586","63.0%","24770","62.1%","33233","54.3%","7.8pp"
"Hamlet Glutton","G","C","254656","3.76","72831","4.68","398642","88.8%","55.6%","64411","54.6%","102063","58.6%","166474","57.0%","230901","54.4%","2.6pp"
"Hardened Scales","G","R","25087","5.62","2659","8.99","651","4.0%","38.6%","115","","145","","260","","390","",""
"Harried Spearguard","R","C","373412","5.95","65184","8.13","278082","68.0%","57.3%","49087","59.5%","57007","54.3%","106094","56.7%","171868","57.7%","-1.0pp"
"Hatching Plans","U","U","134874","4.66","38309","5.39","153393","65.7%","54.9%","26819","59.2%","44179","58.6%","70998","58.9%","81640","51.4%","7.5pp"
"Heartflame Duelist","W","R","18520","2.17","10170","2.16","55212","86.9%","57.3%","9755","59.5%","13200","60.3%","22955","60.0%","32190","55.3%","4.6pp"
"Hearth Elemental","R","U","105256","3.76","30994","4.58","160337","83.1%","56.5%","26230","54.2%","39564","59.6%","65794","57.5%","94040","55.7%","1.7pp"
"High Fae Negotiator","B","U","73377","2.69","28751","3.09","156351","87.8%","56.3%","24616","55.6%","39054","59.9%","63670","58.2%","92097","54.9%","3.4pp"
"Hollow Scavenger","G","C","321472","4.68","68653","6.28","356723","84.2%","55.9%","62959","57.0%","86479","56.3%","149438","56.6%","206995","55.5%","1.1pp"
"Hopeful Vigil","W","C","271604","3.96","69151","4.99","363125","84.8%","56.2%","65635","59.7%","85487","56.3%","151122","57.8%","211759","55.0%","2.8pp"
"Hopeless Nightmare","B","C","324399","4.77","71552","6.25","329800","73.9%","57.0%","57592","58.9%","79464","58.7%","137056","58.8%","191751","55.7%","3.0pp"
"Horned Loch-Whale","U","R","16539","1.87","9565","1.82","51072","85.4%","57.4%","8962","62.3%","14955","64.6%","23917","63.7%","26746","51.7%","12.0pp"
"Howling Galefang","G","U","107109","3.79","22514","5.05","112491","81.8%","54.8%","18354","55.5%","27760","55.8%","46114","55.7%","66421","54.2%","1.5pp"
"Hylda of the Icy Crown","WU","M","9391","2.28","3434","2.18","11326","56.6%","49.8%","1932","51.3%","3505","54.0%","5437","53.0%","5847","46.6%","6.4pp"
