"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Tolarian Terror","U","C","286843","4.20","86228","4.95","409195","87.8%","56.8%","68045","54.8%","125655","58.9%","193700","57.5%","207945","56.0%","1.5pp"
"Tori D'Avenant, Fury Rider","WR","U","106133","4.40","16662","5.81","58507","67.1%","57.3%","9749","55.6%","13523","55.7%","23272","55.7%","35172","58.4%","-2.7pp"
"Toxic Abomination","B","C","449557","8.00","48444","11.62","55976","21.9%","54.1%","10072","54.8%","13812","50.9%","23884","52.5%","31938","55.4%","-2.8pp"
"Tribute to Urborg","B","C","309673","4.32","74518","5.55","340672","84.9%","56.2%","59531","55.1%","99449","59.6%","158980","57.9%","176875","54.6%","3.3pp"
"Tura Kennerüd, Skyknight","WU","U","114874","4.70","18681","6.36","60694","62.0%","54.5%","10051","52.2%","18128","56.1%","28179","54.7%","31822","54.2%","0.5pp"
"Twinferno","R","U","134374","5.50","18691","7.77","53987","55.2%","55.2%","8908","52.5%","13902","55.5%","22810","54.3%","30800","55.8%","-1.5pp"
"Urborg Lhurgoyf","G","R","22389","2.66","6247","2.90","23982","74.9%","54.0%","4249","52.4%","6142","56.2%","10391","54.7%","13238","53.2%","1.4pp"
"Urborg Repossession","B","C","346515","5.07","81426","6.35","350229","80.3%","56.6%","58026","53.3%","96906","60.3%","154932","57.7%","180910","54.9%","2.8pp"
"Urza Assembles the Titans","W","R","53488","6.05","6432","9.39","114","0.3%","","14","","29","","43","","70","",""
"Uurg, Spawn of Turg","BG","U","131285","5.34","22991","7.14","75125","61.7%","55.5%","12843","55.4%","19912","58.8%","32755","57.4%","41295","53.7%","3.7pp"
"Valiant Veteran","W","R","21885","2.53","7178","2.69","31273","81.5%","58.6%","5609","61.2%","7521","58.9%","13130","59.9%","18078","57.7%","2.2pp"
"Vanquisher's Axe","","C","465319","8.84","46040","12.75","18492","7.6%","55.0%","3199","51.1%","4286","50.7%","7485","50.9%","10853","57.8%","-6.9pp"
"Vesuvan Duplimancy","U","M","12736","3.14","3527","3.32","8090","45.1%","50.4%","1411","47.9%","2276","49.4%","3687","48.8%","4285","51.6%","-2.8pp"
"Viashino Branchrider","R","C","439840","7.57","48151","11.02","73458","29.1%","55.1%","13023","53.5%","15917","53.2%","28940","53.3%","44328","56.3%","-3.0pp"
"Vineshaper Prodigy","G","C","389080","5.67","66959","7.81","274719","76.4%","56.6%","48578","55.4%","72114","59.2%","120692","57.7%","150337","55.6%","2.1pp"
"Voda Sea Scavenger","U","C","447131","7.57","53037","11.12","70876","25.2%","53.2%","12400","52.6%","19737","54.5%","32137","53.8%","38088","52.7%","1.1pp"
"Vodalian Hexcatcher","U","R","46948","5.27","5674","8.00","2628","8.8%","49.0%","458","","761","51.4%","1219","49.4%","1389","48.5%","0.9pp"
"Vodalian Mindsinger","U","R","14611","1.77","9892","1.74","48993","90.3%","58.1%","8311","59.5%","14376","64.0%","22687","62.4%","25201","54.0%","8.3pp"
"Vohar, Vodalian Desecrator","UB","U","123427","4.87","27913","6.13","104404","69.4%","56.6%","18186","58.5%","31742","58.7%","49928","58.6%","53096","54.5%","4.1pp"
"Volshe Tideturner","U","C","453901","8.20","56729","11.69","63912","21.2%","53.7%","11411","53.2%","18559","52.8%","29970","53.0%","33691","54.3%","-1.4pp"
"Walking Bulwark","","U","140541","5.73","23965","7.66","69816","53.5%","57.8%","12712","58.3%","18883","59.9%","31595","59.2%","33159","55.3%","3.9pp"
"Warhost's Frenzy","R","U","151446","6.44","18717","9.31","34987","35.7%","55.2%","5746","51.3%","8326","54.3%","14072","53.1%","20820","56.5%","-3.5pp"
"Weatherlight Compleated","","M","9175","2.25","2298","2.26","8233","69.7%","52.0%","1542","49.7%","2012","50.1%","3554","50.0%","4611","53.5%","-3.5pp"
"Wingmantle Chaplain","W","U","70604","3.19","32212","3.06","139232","77.4%","59.7%","24094","61.2%","33172","63.2%","57266","62.4%","46539","51.1%","11.3pp"
"Wooded Ridgeline","","C","349966","4.75","68097","6.51","316165","86.9%","56.1%","57909","57.3%","76448","54.9%","134357","55.9%","174372","56.3%","-0.3pp"
"Writhing Necromass","B","C","371667","5.35","60512","7.42","225337","71.4%","54.5%","37685","51.4%","62443","56.4%","100128","54.5%","122801","54.4%","0.1pp"
"Yavimaya Coast","","R","38448","3.98","6056","5.66","21132","66.1%","55.6%","3826","54.7%","5552","56.1%","9378","55.5%","11412","55.6%","-0.1pp"
"Yavimaya Iconoclast","G","U","100753","3.91","24068","4.76","108182","83.8%","57.7%","19597","60.7%","25629","57.9%","45226","59.1%","62319","56.7%","2.4pp"
"Yavimaya Sojourner","G","C","409279","6.19","59081","8.84","207803","66.0%","56.1%","34965","55.3%","55111","57.8%","90076","56.9%","114670","55.4%","1.4pp"
"Yavimaya Steelcrusher","R","C","426412","6.73","58668","9.48","177558","56.9%","57.0%","32058","57.3%","40664","53.8%","72722","55.3%","104562","58.2%","-2.8pp"
"Yotia Declares War","R","U","164596","7.76","17256","11.62","5284","5.7%","54.7%","972","53.6%","1271","53.7%","2243","53.6%","3025","55.4%","-1.8pp"
"Zar Ojanen, Scion of Efrava","WG","U","94516","3.72","16942","4.86","65290","75.6%","53.9%","10944","50.5%","16430","54.7%","27374","53.1%","37213","54.4%","-1.3pp"
"Zur, Eternal Schemer","WUB","M","15933","3.74","2365","5.05","1150","9.4%","52.9%","216","","339","","555","53.5%","593","52.1%","1.4pp"
