"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Meeting of Minds","U","C","315663","5.26","70969","6.93","333675","76.8%","56.2%","55060","55.1%","87785","57.0%","142845","56.3%","192325","56.2%","0.1pp"
"Merciless Repurposing","B","U","127815","3.59","35284","4.43","176761","82.7%","55.0%","27211","54.2%","47730","59.8%","74941","57.8%","102935","53.2%","4.5pp"
"Mirran Banesplitter","R","C","395197","8.72","42252","12.45","30673","12.1%","52.6%","4861","51.7%","6725","52.2%","11586","52.0%","19078","53.0%","-1.0pp"
"Mirrodin Avenged","B","C","385135","7.93","40801","11.73","37596","15.4%","51.1%","5919","49.5%","9376","52.1%","15295","51.1%","22308","51.1%","0.0pp"
"Mirror-Shield Hoplite","WR","U","182895","6.06","25751","8.17","67805","43.7%","55.1%","11934","58.2%","14163","51.8%","26097","54.7%","41588","55.3%","-0.6pp"
"Moment of Truth","U","C","391198","8.06","54301","11.35","68315","20.8%","53.6%","11642","52.0%","17487","54.8%","29129","53.7%","39383","53.5%","0.1pp"
"Monastery Mentor","W","M","6797","1.48","4454","1.45","23359","87.0%","54.9%","4140","57.2%","5555","55.7%","9695","56.3%","13686","53.7%","2.6pp"
"Mutagen Connoisseur","UG","U","207600","6.71","29929","9.42","68664","38.4%","52.3%","11400","50.9%","17643","54.2%","29043","52.9%","39385","51.6%","1.3pp"
"Nahiri's Warcrafting","R","R","19990","2.13","8367","2.23","41926","82.9%","54.6%","7039","54.6%","10178","58.4%","17217","56.9%","24782","53.0%","3.9pp"
"Negate","U","C","395653","8.66","48081","12.28","32166","11.1%","52.1%","4993","51.0%","7983","53.9%","12976","52.8%","19197","51.6%","1.2pp"
"Nezumi Freewheeler","B","U","148148","4.25","25227","5.84","105945","71.6%","52.1%","17405","49.9%","27384","53.7%","44789","52.3%","61005","51.9%","0.3pp"
"Nezumi Informant","B","C","296552","4.74","68865","6.18","357605","85.1%","55.6%","63941","57.0%","90031","56.7%","153972","56.8%","203115","54.6%","2.2pp"
"Niv-Mizzet Reborn","WUBRG","M","13703","4.15","2523","5.44","5174","34.9%","49.5%","772","49.2%","1383","55.7%","2155","53.4%","3000","46.0%","7.3pp"
"Norn's Inquisitor","W","U","90906","2.62","32382","3.00","172652","85.4%","57.8%","31732","63.6%","38574","59.0%","70306","61.1%","101655","55.4%","5.7pp"
"Obosh, the Preypiercer","BR","R","17450","2.71","4906","3.19","21879","74.8%","52.9%","3538","51.5%","5443","55.2%","8981","53.7%","12985","52.3%","1.4pp"
"Oculus Whelp","U","C","385297","7.62","48722","10.99","64862","22.1%","51.5%","10267","48.9%","16535","53.1%","26802","51.5%","38142","51.5%","-0.0pp"
"Omen Hawker","U","U","204371","6.49","43213","8.30","135336","51.1%","56.1%","23360","58.8%","33047","54.4%","56407","56.2%","78771","56.0%","0.2pp"
"Omnath, Locus of All","WUBRG","R","43144","4.29","8008","5.56","16552","35.2%","48.7%","2651","46.7%","4302","51.7%","6953","49.7%","9541","47.8%","2.0pp"
"Onakke Javelineer","R","C","384585","7.83","43382","11.31","70840","27.4%","51.8%","10861","50.2%","17391","52.2%","28252","51.4%","42806","52.0%","-0.5pp"
"Oracle of Tragedy","U","U","176486","5.07","36906","6.77","162850","72.8%","55.1%","29080","54.5%","41177","56.1%","70257","55.4%","92429","54.9%","0.5pp"
"Order of the Mirror","U","C","365339","5.43","67302","7.49","297934","73.2%","54.8%","52958","53.8%","69807","52.8%","122765","53.3%","174117","55.9%","-2.6pp"
"Overgrown Pest","G","C","276948","4.43","57158","5.86","288475","83.5%","54.8%","51522","55.2%","68432","55.9%","119954","55.6%","167595","54.2%","1.4pp"
"Ozolith, the Shattered Spire","G","R","15275","1.70","8607","1.67","45327","87.1%","54.8%","8336","58.0%","10647","56.5%","18983","57.2%","26263","53.0%","4.1pp"
"Phyrexian Archivist","","C","407257","9.77","46885","13.47","7885","2.8%","50.4%","1128","46.5%","1973","52.2%","3101","50.1%","4797","50.6%","-0.5pp"
"Phyrexian Awakening","W","U","135072","3.91","25846","5.07","109784","70.8%","54.0%","19023","54.0%","25386","54.4%","44409","54.3%","65177","53.7%","0.6pp"
"Phyrexian Censor","W","U","165571","4.94","27256","6.62","88344","54.1%","54.0%","15078","54.9%","19969","53.9%","35047","54.4%","53221","53.7%","0.7pp"
"Phyrexian Gargantua","B","U","154922","4.33","31106","5.82","138048","74.3%","53.6%","20935","51.8%","35722","55.2%","56657","54.0%","81497","53.4%","0.6pp"
"Pile On","B","R","13834","1.51","10023","1.51","56206","91.3%","56.5%","9413","58.7%","15381","62.9%","24794","61.3%","31880","52.9%","8.4pp"
"Placid Rottentail","G","C","380832","7.79","37965","11.52","53376","23.5%","51.8%","9258","52.4%","11407","48.4%","20665","50.2%","32573","52.8%","-2.6pp"
"Polukranos Reborn","G","R","16937","1.85","8337","1.86","43638","85.3%","55.9%","7415","59.0%","10658","58.4%","18073","58.7%","24468","53.3%","5.4pp"
