"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Deeproot Pilgrimage","U","R","32576","4.73","5321","6.33","5070","16.1%","48.3%","924","45.5%","1278","47.4%","2202","46.6%","2851","49.5%","-2.9pp"
"Subterranean Schooner","U","R","11936","1.69","8410","1.66","46596","89.2%","57.2%","8371","66.6%","11459","57.4%","19830","61.3%","26042","53.8%","7.4pp"
"Acolyte of Aclazotz","B","C","378101","7.82","41491","11.21","63345","26.0%","49.1%","10291","45.9%","15967","49.1%","26258","47.8%","36920","49.9%","-2.1pp"
"Bloodletter of Aclazotz","B","M","6005","1.67","2796","1.64","12785","77.1%","53.3%","2152","53.4%","3368","58.9%","5520","56.8%","7193","50.5%","6.2pp"
"Defossilize","B","U","94128","4.08","20891","5.02","94467","75.4%","54.2%","15028","55.2%","24784","59.4%","39812","57.8%","53930","51.3%","6.5pp"
"Fungal Fortitude","B","C","379384","7.89","38885","11.60","45831","19.9%","51.9%","7283","51.5%","11344","54.2%","18627","53.2%","27023","50.8%","2.3pp"
"Souls of the Lost","B","R","16968","2.34","5658","2.51","27729","81.5%","53.9%","4776","52.8%","7342","59.1%","12118","56.6%","15412","51.5%","5.1pp"
"Cosmium Confluence","G","R","27598","3.78","5956","4.52","18591","52.1%","53.1%","3062","51.8%","4646","57.3%","7708","55.1%","10758","51.4%","3.8pp"
"Chimil, the Inner Sun","","M","4061","1.15","3690","1.14","22010","95.7%","57.2%","3744","61.5%","5572","62.0%","9316","61.8%","12481","53.5%","8.2pp"
"Runaway Boulder","","C","392249","7.89","44716","11.40","45293","16.7%","52.8%","7508","49.4%","11066","54.7%","18574","52.6%","26221","52.7%","-0.2pp"
